City,Latitude,Longtitude,Max Temperature,Humidity,Clouds,Wind Speed,Country,Weather Date
Avarua,-21.2078,-159.775,77.05,73,40,3.44,CK,1632286052
Dikson,73.5069,80.5464,33.6,83,99,0.94,RU,1632286052
Saskylakh,71.9167,114.0833,36.36,94,100,11.03,RU,1632286053
Kruisfontein,-34.0033,24.7314,49.37,79,5,4.76,ZA,1632286053
Kapaa,22.0752,-159.319,84.18,72,40,3.0,US,1632286054
Ancud,-41.8697,-73.8203,42.42,91,0,0.51,CL,1632286054
Upernavik,72.7868,-56.1549,19.99,56,100,5.82,GL,1632286050
Abalak,58.1286,68.5944,40.32,90,100,6.69,RU,1632286055
Mar del Plata,-38.0023,-57.5575,44.62,93,20,2.3,AR,1632286055
Hobart,-42.8794,147.3294,73.11,46,20,14.97,AU,1632286055
Nyurba,63.2842,118.3319,47.84,74,99,6.78,RU,1632286056
Campos dos Goytacazes,-21.75,-41.3,70.18,73,31,22.91,BR,1632286056
Mahébourg,-20.4081,57.7,74.25,60,20,9.22,MU,1632286057
Thompson,55.7435,-97.8558,42.96,81,75,2.3,CA,1632285951
Lüderitz,-26.6481,15.1594,63.36,42,5,7.87,,1632286057
Bereket,39.2446,55.5154,78.15,15,0,12.66,TM,1632286058
Qeshm,26.9581,56.2719,91.27,60,6,8.84,IR,1632286058
Mataura,-46.1927,168.8643,53.47,57,8,4.14,NZ,1632286029
Roald,62.5833,6.1333,63.52,63,40,20.71,NO,1632286058
Bluff,-46.6,168.3333,53.8,69,12,15.9,NZ,1632286059
Rawson,-43.3002,-65.1023,58.14,37,0,22.84,AR,1632286059
Nikolskoye,59.7035,30.7861,44.49,79,98,6.44,RU,1632286060
Khovd,48.0056,91.6419,48.94,32,0,9.08,MN,1632286060
Hong Kong,22.2855,114.1577,92.97,69,39,3.0,HK,1632286061
Ushuaia,-54.8,-68.3,42.46,93,90,13.8,AR,1632285876
Safranbolu,41.2508,32.6942,51.53,91,100,2.57,TR,1632286061
Khangarh,29.9173,71.1618,82.47,49,90,4.68,PK,1632286062
Ambunti,-4.2365,142.8448,89.49,62,46,1.48,PG,1632286062
Tuatapere,-46.1333,167.6833,53.82,60,12,2.8,NZ,1632286062
Ferme-Neuve,46.7001,-75.4493,62.38,80,86,7.85,CA,1632286063
Itoman,26.1247,127.6694,88.18,74,20,5.75,JP,1632286063
Fort Myers Beach,26.452,-81.9481,76.01,95,1,3.44,US,1632286064
Hauterive,46.0901,3.4459,52.56,97,4,0.78,FR,1632286064
Muyezerskiy,63.9333,31.65,33.73,86,9,1.68,RU,1632286065
Atuona,-9.8,-139.0333,78.06,74,8,20.51,PF,1632286065
Busselton,-33.65,115.3333,81.05,54,0,5.32,AU,1632286065
Mercedes,-34.6515,-59.4307,47.17,85,9,6.73,AR,1632285869
Vila Franca do Campo,37.7167,-25.4333,68.41,84,10,8.79,PT,1632286066
São José da Coroa Grande,-8.8978,-35.1478,74.43,84,53,3.76,BR,1632286066
Ambovombe,-25.1667,46.0833,71.76,68,54,7.2,MG,1632286067
Anadyr,64.75,177.4833,36.1,75,75,4.47,RU,1632286067
Cap Malheureux,-19.9842,57.6142,74.46,51,5,8.99,MU,1632286068
Pemangkat,1.1667,108.9667,85.24,68,57,8.81,ID,1632286068
Butaritari,3.0707,172.7902,83.19,73,91,12.95,KI,1632286068
Saint-François,46.4154,3.9054,44.47,100,90,2.3,FR,1632286069
Carnarvon,-24.8667,113.6333,84.27,28,52,10.36,AU,1632286069
Saint Paul Harbor,57.79,-152.4072,47.71,31,1,20.71,US,1632286070
Khatanga,71.9667,102.5,34.5,96,100,14.32,RU,1632286070
Nacala,-14.5428,40.6728,75.52,76,7,6.06,MZ,1632286070
Hasaki,35.7333,140.8333,84.6,79,85,18.34,JP,1632286071
Talnakh,69.4865,88.3972,37.6,66,27,1.07,RU,1632286071
Bindki,26.0333,80.6,88.11,62,12,9.71,IN,1632286071
Guasdualito,7.2424,-70.7324,70.84,97,99,2.37,VE,1632286072
Šipkovica,42.035,20.9156,47.14,87,39,0.89,MK,1632286072
Purwakarta,-6.5569,107.4433,88.9,40,90,8.57,ID,1632286073
Karratha,-20.7377,116.8463,87.78,21,100,21.07,AU,1632286073
Fairhope,30.523,-87.9033,79.7,87,40,0.0,US,1632286074
Winchester,51.0651,-1.3187,52.92,87,40,0.0,GB,1632286074
Jurm,36.8648,70.8342,69.04,30,0,3.4,AF,1632286074
Mandalgovi,45.7625,106.2708,67.39,29,42,10.63,MN,1632286075
Yarim,14.298,44.3779,64.38,43,80,8.48,YE,1632286075
Pangnirtung,66.1451,-65.7125,30.61,58,64,4.7,CA,1632286075
Ilulissat,69.2167,-51.1,28.42,86,75,2.3,GL,1632286076
Tura,25.5198,90.2201,78.04,78,100,0.74,IN,1632286076
Ahipara,-35.1667,173.1667,62.1,82,97,21.63,NZ,1632286077
City of San Pedro,14.35,121.0167,92.35,64,40,11.5,PH,1632286077
Caravelas,-17.7125,-39.2481,71.35,93,6,3.09,BR,1632286077
Ampanihy,-24.7,44.75,70.12,76,76,6.64,MG,1632286078
Cansahcab,21.1667,-89.1,77.23,93,34,4.21,MX,1632286078
São Filipe,14.8961,-24.4956,78.57,81,8,9.01,CV,1632286079
New Norfolk,-42.7826,147.0587,72.75,45,11,7.0,AU,1632286079
Camacha,33.0833,-16.3333,68.76,68,40,13.8,PT,1632286079
Longyearbyen,78.2186,15.6401,40.84,70,40,18.41,SJ,1632286042
Pisco,-13.7,-76.2167,61.02,82,0,13.8,PE,1632286080
Arrondissement de Toul,48.6667,5.9167,46.69,96,0,3.44,FR,1632286080
Visby,57.6409,18.296,46.62,76,90,3.44,SE,1632286081
Pizarro,4.9533,-77.366,75.49,94,100,1.83,CO,1632286081
San Francisco,37.7749,-122.4194,79.99,75,20,3.0,US,1632285946
Saint Anthony,45.0205,-93.218,54.55,78,1,3.0,US,1632286082
Hofn,64.2539,-15.2082,43.7,62,100,11.16,IS,1632286082
Wattegama,6.7989,81.4808,88.72,46,55,1.77,LK,1632286083
Basco,20.4487,121.9702,84.81,76,45,12.93,PH,1632286083
Sur,22.5667,59.5289,91.58,51,12,5.55,OM,1632286084
Corner Brook,48.9667,-57.9484,55.53,93,62,5.44,CA,1632285951
Lagoa,39.05,-27.9833,69.98,80,0,16.64,PT,1632286084
Atar,20.5169,-13.0499,83.46,25,5,9.55,MR,1632286085
Cuamba,-14.8031,36.5372,70.43,57,0,3.47,MZ,1632286085
Dingle,10.9995,122.6711,86.23,68,89,5.37,PH,1632286085
Eureka,40.8021,-124.1637,63.79,71,16,2.21,US,1632286086
Manta,-0.95,-80.7333,73.18,83,90,12.66,EC,1632286086
Conceição da Barra,-18.5933,-39.7322,74.97,82,26,14.07,BR,1632286087
Cidreira,-30.1811,-50.2056,59.61,73,94,7.83,BR,1632286087
Deniliquin,-35.5333,144.9667,65.5,44,83,9.1,AU,1632286088
Lebu,-37.6167,-73.65,50.27,82,71,3.91,CL,1632286088
Kilindoni,-7.9139,39.6668,77.36,75,3,10.4,TZ,1632286089
Honiara,-9.4333,159.95,83.34,75,35,1.45,SB,1632286089
San Cristobal,7.7669,-72.225,64.83,95,82,2.19,VE,1632286089
Fukuechō,32.6881,128.8419,82.76,69,20,10.36,JP,1632286066
Lehututu,-23.9667,21.8667,55.11,15,0,9.62,BW,1632286090
Port Elizabeth,-33.918,25.5701,44.89,100,0,2.3,ZA,1632286028
Chokurdakh,70.6333,147.9167,38.93,54,97,9.28,RU,1632286090
Musoma,-1.5,33.8,71.04,71,100,5.55,TZ,1632286091
Alice Springs,-23.7,133.8833,67.55,15,12,17.27,AU,1632286022
Warmbad,-28.45,18.7333,54.63,12,17,12.37,,1632286092
Bredasdorp,-34.5322,20.0403,43.92,87,0,3.44,ZA,1632286092
Halifax,44.6453,-63.5724,60.01,91,0,3.44,CA,1632285837
Chichica,8.4922,-82.1627,76.39,91,100,1.43,PA,1632286093
Fortuna,40.5982,-124.1573,63.52,65,1,0.0,US,1632286093
Richards Bay,-28.783,32.0377,62.82,70,100,7.14,ZA,1632286093
Marzuq,14.4,46.4667,83.82,39,70,0.87,YE,1632286094
Huarmey,-10.0681,-78.1522,62.29,89,96,8.99,PE,1632286094
Bethel,41.3712,-73.414,70.11,90,90,0.0,US,1632286084
Padang,-0.9492,100.3543,85.26,66,91,6.31,ID,1632286095
Viedma,-40.8135,-62.9967,47.41,71,0,12.37,AR,1632286095
Nome,64.5011,-165.4064,39.27,49,75,9.22,US,1632286095
Nuevo Progreso,23.1667,-97.95,77.47,81,36,2.91,MX,1632286096
Semey,50.4111,80.2275,48.42,61,0,8.95,KZ,1632286096
Zhigansk,66.7697,123.3711,48.7,49,86,20.13,RU,1632286097
Sitrah,26.1547,50.6206,89.6,49,0,5.99,BH,1632286097
Tel Aviv-Yafo,32.0805,34.7805,78.69,80,20,6.91,IL,1632286097
Mount Isa,-20.7333,139.5,74.97,9,53,16.11,AU,1632286098
Khani,41.9563,42.9566,54.97,95,98,2.77,GE,1632286098
Santa Cruz de la Sierra,-17.8,-63.1667,71.06,49,75,16.11,BO,1632285904
Platonovka,52.7106,41.952,48.79,91,96,2.62,RU,1632286099
Ürümqi,43.801,87.6005,58.15,25,0,6.71,CN,1632286099
Maturin,9.75,-63.1767,73.18,97,84,3.36,VE,1632286100
Shurugwi,-19.6702,30.0059,55.22,81,100,11.92,ZW,1632286100
Bāgeshwar,29.85,79.7667,77.67,73,67,2.46,IN,1632286100
Seoul,37.5683,126.9778,78.31,61,75,11.5,KR,1632286034
Koumac,-20.5667,164.2833,76.6,62,85,10.87,NC,1632286101
Lorengau,-2.0226,147.2712,84.65,68,98,7.23,PG,1632286101
Bambous Virieux,-20.3428,57.7575,74.21,60,20,9.22,MU,1632286102
Constitución,-35.3333,-72.4167,52.83,80,100,6.44,CL,1632286025
Huayang,34.4155,109.9939,74.97,49,89,3.27,CN,1632286102
Saint George,37.1041,-113.5841,75.79,20,1,1.01,US,1632286029
Mtinko,-4.55,34.85,63.32,69,4,10.8,TZ,1632286103
Moerai,-22.4333,-151.3333,74.48,79,100,2.64,PF,1632286103
Biloela,-24.4167,150.5,75.2,14,0,13.02,AU,1632286104
Hithadhoo,-0.6,73.0833,82.9,76,98,15.05,MV,1632286104
Ixtapa,20.7,-105.2,82.22,83,99,3.33,MX,1632286104
Kumul,42.8,93.45,76.41,20,85,6.04,CN,1632286105
Saint-Philippe,-21.3585,55.7679,74.79,68,39,8.84,RE,1632286100
Krasnosel'kup,65.7,82.4667,35.11,67,100,16.93,RU,1632286105
Iranshahr,27.2025,60.6848,89.94,40,2,0.0,IR,1632286106
Burē,10.7,37.0667,59.74,89,42,1.39,ET,1632286106
Castro,-24.7911,-50.0119,54.91,95,100,9.75,BR,1632286107
Shitanjing,39.2342,106.3439,76.73,16,97,11.61,CN,1632286107
Quepos,9.4236,-84.1652,82.06,88,100,0.83,CR,1632286107
Severo-Kuril'sk,50.6789,156.125,51.91,75,83,11.12,RU,1632286108
Haukipudas,65.1765,25.3523,31.14,94,100,11.65,FI,1632286108
Lipari,38.4674,14.954,77.56,67,90,5.37,IT,1632286109
San Policarpo,12.1791,125.5072,84.13,73,100,7.14,PH,1632286109
Twin Falls,42.3505,-114.6445,60.69,47,1,9.22,US,1632286109
Prainha,-1.8,-53.48,72.91,92,44,2.93,BR,1632286110
Hedaru,-4.5,37.9,68.58,78,82,5.1,TZ,1632286110
Tete,-16.1564,33.5867,71.69,68,75,12.66,MZ,1632286111
Praia,14.9215,-23.5087,77.54,83,20,17.27,CV,1632286111
Katsuura,35.1333,140.3,82.51,80,87,16.62,JP,1632286111
Beringovskiy,63.05,179.3167,37.17,71,100,9.28,RU,1632286096
Pascagoula,30.3658,-88.5561,75.25,94,90,0.0,US,1632286112
Vanimo,-2.6741,141.3028,83.62,72,100,7.27,PG,1632286113
Port Lincoln,-34.7333,135.8667,61.81,61,48,11.92,AU,1632286113
Sangar,63.9242,127.4739,49.35,58,77,14.83,RU,1632286114
Tessalit,20.1986,1.0114,84.67,14,9,8.25,ML,1632286114
Juneau,58.3019,-134.4197,51.8,84,75,5.75,US,1632286115
Guerrero Negro,27.9769,-114.0611,74.7,68,100,10.51,MX,1632285977
Provideniya,64.3833,-173.3,35.71,60,40,8.95,RU,1632286115
Arraial do Cabo,-22.9661,-42.0278,69.24,79,94,26.46,BR,1632286116
Tautira,-17.7333,-149.15,78.82,74,5,7.78,PF,1632286116
Yumen,40.2833,97.2,75.52,19,17,7.94,CN,1632286061
Brae,60.3964,-1.353,57.11,92,99,29.51,GB,1632286117
Laguna,38.421,-121.4238,82.24,48,1,0.0,US,1632286117
Cabo San Lucas,22.8909,-109.9124,83.52,84,99,6.11,MX,1632286117
Tual,-5.6667,132.75,79.81,83,84,20.6,ID,1632286118
Rocha,-34.4833,-54.3333,52.34,72,41,4.83,UY,1632285866
Fairbanks,64.8378,-147.7164,35.6,66,75,1.14,US,1632285932
Stabat,3.761,98.4513,88.0,54,86,3.33,ID,1632286119
Onda,39.9667,-0.25,62.29,81,28,5.17,ES,1632286119
Jiayuguan City,39.8167,98.3,73.69,19,48,8.43,CN,1632286119
Zhangye,38.9342,100.4517,77.99,18,27,7.18,CN,1632286120
Kyaikto,17.3,97.0167,83.17,79,95,2.8,MM,1632286120
Buala,-8.145,159.5921,83.32,73,30,3.49,SB,1632286121
Pevek,69.7008,170.3133,28.26,72,99,11.14,RU,1632286121
Port-Gentil,-0.7193,8.7815,77.76,80,98,9.84,GA,1632286121
Marawi,7.9986,124.2928,75.65,78,61,1.36,PH,1632286122
Lata,40.1629,-8.3327,64.08,66,0,6.62,PT,1632286122
Margate,51.3813,1.3862,56.95,90,96,7.67,GB,1632286122
Tomatlán,19.9333,-105.25,76.44,94,45,1.88,MX,1632286123
Luang Prabang,19.8856,102.1347,85.96,66,20,6.91,LA,1632286123
Tuktoyaktuk,69.4541,-133.0374,37.4,75,90,13.8,CA,1632286124
Vila Frescainha,41.5385,-8.6397,64.35,67,0,6.69,PT,1632286124
Carambeí,-24.9178,-50.0972,53.94,94,99,9.95,BR,1632286125
Gemeente Hellevoetsluis,51.8333,4.1333,57.22,81,96,6.73,NL,1632286125
Presque Isle,46.6811,-68.0159,61.18,86,1,9.22,US,1632286125
Dunkirk,51.05,2.3667,53.01,86,100,4.74,FR,1632286126
Minbu,20.1833,94.8833,88.2,62,95,6.11,MM,1632286126
Willowmore,-33.2926,23.4895,45.21,81,0,5.28,ZA,1632286127
Saquarema,-22.92,-42.5103,68.54,82,97,18.59,BR,1632286127
Kavieng,-2.5744,150.7967,84.27,72,73,9.71,PG,1632286093
Adré,13.4667,22.2,70.38,88,51,6.64,TD,1632286128
Yellowknife,62.456,-114.3525,46.92,100,90,8.05,CA,1632286081
Turaif,31.6725,38.6637,70.05,37,0,6.91,SA,1632286128
Jackson,42.4165,-122.8345,70.0,55,42,1.01,US,1632285938
Grand-Santi,4.25,-54.3833,71.87,99,70,1.97,GF,1632286129
Qaanaaq,77.484,-69.3632,8.13,70,0,9.24,GL,1632286130
Benjamín Hill,30.1667,-111.1,82.17,30,54,3.42,MX,1632286130
Port Blair,11.6667,92.75,77.04,100,90,11.5,IN,1632286099
Acaraú,-2.8856,-40.12,76.64,86,15,11.16,BR,1632286131
Mehamn,71.0357,27.8492,42.98,75,0,41.43,NO,1632286131
Mananara,-16.1667,49.7667,73.45,71,74,5.08,MG,1632286131
Basoko,1.2391,23.616,71.83,89,74,1.07,CD,1632286132
Khandyga,62.6667,135.6,49.87,56,11,1.36,RU,1632286132
Farafangana,-22.8167,47.8333,71.04,76,10,10.0,MG,1632286133
Hamilton,39.1834,-84.5333,71.89,95,90,4.61,US,1632285835
Yangjiang,21.85,111.9667,87.69,68,45,7.14,CN,1632286133
Shalyhyne,51.5717,34.1217,41.99,96,100,8.28,UA,1632286134
Kathu,7.9178,98.3332,84.02,69,100,20.67,TH,1632286134
Cabedelo,-6.9811,-34.8339,74.07,85,9,5.64,BR,1632286135
Chui,-33.6971,-53.4616,54.86,81,95,7.9,UY,1632286039
East London,-33.0153,27.9116,52.74,82,0,4.61,ZA,1632286135
Saint-Paul,-21.0096,55.2707,75.31,56,1,1.12,RE,1632286136
Bakchar,57.0186,82.0711,35.98,99,100,3.09,RU,1632286136
Claveria,18.6074,121.0832,89.58,63,29,7.65,PH,1632286136
Lyuban',52.7985,28.0048,40.46,93,100,10.25,BY,1632286137
Nelson Bay,-32.7167,152.15,68.77,63,91,3.0,AU,1632286137
Pike Creek,39.7309,-75.7041,71.42,90,90,1.01,US,1632286138
Jumla,29.2747,82.1838,71.62,55,8,5.28,NP,1632286138
Catió,11.2833,-15.25,77.5,91,97,6.15,GW,1632286138
Leningradskiy,69.3833,178.4167,23.97,85,95,7.76,RU,1632286139
Corsicana,32.0954,-96.4689,74.77,43,1,4.0,US,1632286139
Athabasca,54.7169,-113.2854,55.22,62,93,6.6,CA,1632286140
Rome,43.2128,-75.4557,69.84,84,1,9.22,US,1632286140
Nānākuli,21.3906,-158.1547,82.35,65,40,10.36,US,1632286140
Penzance,50.1186,-5.5371,56.41,86,66,3.22,GB,1632286141
Palmer,42.1584,-72.3287,66.61,85,90,0.0,US,1632286141
Ialibu,-6.2821,143.9935,64.06,87,98,2.28,PG,1632286142
Santa Rosa,14.3122,121.1114,93.11,64,96,9.64,PH,1632286142
Jizan,17.3333,42.6667,85.14,37,96,4.7,SA,1632286143
Toktogul,41.8708,72.9402,68.61,28,0,2.08,KG,1632286143
Poso,-1.3959,120.7524,81.05,81,87,5.61,ID,1632286144
At-Bashi,41.1702,75.8106,61.7,25,1,3.06,KG,1632286144
Kuito,-12.3833,16.9333,62.47,30,24,4.45,AO,1632286144
Vostok,46.4856,135.8833,53.64,98,100,2.57,RU,1632286091
Saldanha,-33.0117,17.9442,48.25,53,6,9.17,ZA,1632286145
Turukhansk,65.8167,87.9833,36.97,90,97,9.1,RU,1632286145
Norman Wells,65.282,-126.8329,41.04,81,75,8.05,CA,1632285869
Aden,12.7794,45.0367,85.96,74,51,1.83,YE,1632286146
Royan,45.6285,-1.0281,54.46,87,0,9.78,FR,1632286146
Yeppoon,-23.1333,150.7333,76.78,43,0,11.34,AU,1632286147
Shelburne,44.0787,-80.2041,64.8,98,100,2.73,CA,1632286147
Meulaboh,4.1363,96.1285,82.58,70,100,1.9,ID,1632286067
Banda Aceh,5.5577,95.3222,85.21,65,100,14.43,ID,1632286148
Esperance,-33.8667,121.9,78.64,35,0,4.25,AU,1632286148
Tasiilaq,65.6145,-37.6368,32.16,54,35,8.86,GL,1632286027
Taoudenni,22.6783,-3.9836,91.47,11,1,12.46,ML,1632286149
Tall Kayf,37.0833,41.0667,79.14,30,0,4.61,TR,1632286149
Dukat,62.55,155.55,42.89,68,100,2.66,RU,1632286150
Liverpool,53.4106,-2.9779,56.44,87,75,3.44,GB,1632285862
Ponta do Sol,32.6667,-17.1,72.23,71,100,7.23,PT,1632286150
Lavrentiya,65.5833,-171.0,32.49,65,94,11.14,RU,1632286151
Puerto Nariño,-3.7703,-70.3831,73.35,98,65,2.82,CO,1632286151
Peniche,39.3558,-9.3811,67.48,59,0,10.98,PT,1632286151
Walvis Bay,-22.9575,14.5053,54.09,93,2,3.44,,1632286152
San Quintín,30.4833,-115.95,72.99,75,0,7.07,MX,1632285974
Okhotsk,59.3833,143.3,57.56,47,26,6.76,RU,1632286152
Tambura,5.6,27.4667,68.22,91,53,2.68,SS,1632286153
Wanning,18.8003,110.3967,87.58,63,13,6.62,CN,1632286153
Griffith,41.5284,-87.4237,64.98,83,90,1.99,US,1632286154
Kozhva,65.1073,57.0459,40.14,97,99,3.38,RU,1632286155
Pontes e Lacerda,-15.2261,-59.3353,79.86,46,12,4.56,BR,1632286155
Parabel',58.6978,81.4825,36.3,85,95,4.05,RU,1632286156
Xai-Xai,-25.0519,33.6442,67.5,58,86,15.66,MZ,1632286156
George Town,5.4112,100.3354,87.75,66,20,5.75,MY,1632286135
Zaton,53.2936,83.8072,40.59,87,75,11.18,RU,1632286157
Mossamedes,-15.1961,12.1522,60.78,91,7,4.32,AO,1632286125
Marovoay,-16.1,46.6333,75.34,45,52,7.29,MG,1632286158
Province of Trapani,37.8333,12.6667,75.38,88,20,5.75,IT,1632286158
Makakilo City,21.3469,-158.0858,80.92,64,40,10.36,US,1632286158
Roura,4.7263,-52.3274,82.96,100,20,0.0,GF,1632286159
Bay Roberts,47.5999,-53.2648,59.02,93,6,1.01,CA,1632286159
Geraldton,-28.7667,114.6,90.01,8,0,5.75,AU,1632286159
Ostrovnoy,68.0531,39.5131,37.67,78,2,13.47,RU,1632286160
Muros,42.7762,-9.0603,61.99,80,14,14.63,ES,1632286160
Nizhniy Baskunchak,48.2198,46.8311,63.95,82,100,5.44,RU,1632286161
Maniitsoq,65.4167,-52.9,30.74,60,3,9.6,GL,1632286061
Tongliao,43.6125,122.2653,58.68,78,100,15.32,CN,1632286161
Bada,51.392,109.8717,53.17,50,100,2.42,RU,1632286162
Zatoka,46.0725,30.4654,46.94,68,71,16.62,UA,1632286162
Yarmouth,41.7057,-70.2286,70.18,88,90,4.0,US,1632286163
Astolfo Dutra,-21.3153,-42.8622,70.16,76,39,7.34,BR,1632286163
Saurimo,-9.6608,20.3916,65.05,26,37,2.46,AO,1632286163
Necochea,-38.5473,-58.7368,40.87,81,0,9.42,AR,1632286164
Joshīmath,30.5667,79.5667,73.26,76,94,5.35,IN,1632286164
Sinnamary,5.3833,-52.95,78.51,87,72,8.55,GF,1632286165
Nouadhibou,20.931,-17.0347,69.78,88,0,18.41,MR,1632286165
Labytnangi,66.6572,66.4183,44.17,72,99,7.34,RU,1632286166
Iqaluit,63.7506,-68.5145,31.73,100,90,5.75,CA,1632286166
Aquin,18.2833,-73.4,79.66,80,66,0.31,HT,1632286166
Kashan,33.9831,51.4364,81.79,14,0,9.19,IR,1632286167
Rumuruti,0.267,36.5389,62.49,72,3,6.78,KE,1632286167
Ca Mau,9.1769,105.15,89.89,56,65,11.45,VN,1632286168
Dickinson,29.4608,-95.0513,84.42,76,40,1.99,US,1632286168
Sinjār,36.3209,41.8754,81.32,23,0,10.38,IQ,1632286168
Puerto Madero,14.7208,-92.4215,78.42,88,97,5.41,MX,1632286169
Kalabo,-14.97,22.6814,68.29,21,42,4.32,ZM,1632286169
Todos Santos,23.45,-110.2167,83.01,90,100,3.58,MX,1632286169
Mpulungu,-8.7623,31.1141,77.77,47,23,7.96,ZM,1632286170
Saint-Augustin,51.226,-58.6502,54.0,85,97,12.39,CA,1632286103
Amursk,50.2261,136.8994,56.91,54,99,16.42,RU,1632286171
Ballina,-28.8667,153.5667,71.78,52,33,21.85,AU,1632286171
Olafsvik,64.8945,-23.7142,38.79,75,78,1.66,IS,1632286172
Torrington,41.8007,-73.1212,67.5,95,99,2.68,US,1632286172
Rio Grande,-32.035,-52.0986,51.94,80,98,12.1,BR,1632285883
Manzhouli,49.6,117.4333,63.86,52,21,6.33,CN,1632286173
Aykhal,66.0,111.5,37.98,86,100,14.16,RU,1632286173
Qinnan,33.2531,119.9133,89.71,47,0,7.65,CN,1632286174
Dunedin,-45.8742,170.5036,51.96,75,7,11.74,NZ,1632286030
Jiancheng,30.391,104.5491,85.21,64,64,2.93,CN,1632286174
Kieta,-6.2167,155.6333,84.04,71,81,5.37,PG,1632286175
Panlaitan,12.1191,119.8486,82.54,81,100,17.47,PH,1632286175
Āwash,8.9833,40.1667,75.27,66,88,9.28,ET,1632286175
Kinshasa,-4.3246,15.3215,75.52,88,20,3.44,CD,1632286176
Aloleng,16.1307,119.7824,86.29,69,61,6.85,PH,1632286176
Severo-Yeniseyskiy,60.3725,93.0408,31.68,74,100,9.57,RU,1632286176
Hīt,33.6416,42.8251,85.75,27,0,19.86,IQ,1632286177
Paamiut,61.994,-49.6678,36.68,56,100,5.53,GL,1632286177
Codrington,-38.2667,141.9667,60.39,69,69,15.19,AU,1632286178
Huesca,42.1362,-0.4087,52.74,81,90,0.0,ES,1632286178
Comodoro Rivadavia,-45.8667,-67.5,64.26,19,0,11.5,AR,1632286178
Husavik,66.0449,-17.3389,33.71,94,100,19.84,IS,1632286179
Vardø,70.3705,31.1107,41.2,78,45,32.3,NO,1632286179
Sal Rei,16.1833,-22.9167,77.56,83,11,16.13,CV,1632286180
Srīvardhan,18.0333,73.0167,76.78,91,100,0.98,IN,1632286180
Bowen,-20.0167,148.2333,71.82,36,25,23.4,AU,1632286181
Enshi,30.3,109.4833,86.13,50,1,1.52,CN,1632286181
